web-scraper-order,web-scraper-start-url,page,page-href,title,author_name,date
1614669975-1057,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,"Truthwitch
        (The Witchlands, #1)","Dennard, Susan","Feb 10, 2019"
1614669956-1003,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,"The Bullet Journal Method: Track the Past, Order the Present, Design the Future","Carroll, Ryder","Mar 26, 2020"
1614669963-1007,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,"The Legend of Korra: Turf Wars
        (The Legend of Korra, #1)","DiMartino, Michael Dante","Feb 20, 2020"
1614669956-993,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,Know My Name,"Miller, Chanel","Nov 07, 2020"
1614669975-1058,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=4&per_page=20&shelf=read&utf8=%E2%9C%93,Junk Raft: An Ocean Voyage and a Rising Tide of Activism to Fight Plastic Pollution,"Eriksen, Marcus",Feb-19
1614669963-1014,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Avatar: The Last Airbender: The Lost Adventures,"Konietzko, Bryan","Jan 11, 2020"
1614669956-989,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,,,What Stars are Made of: The Life of Cecilia Payne-Gaposchkin,"Moore, Donovan","Dec 15, 2020"
1614669986-1102,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,Cleo: How an Uppity Cat Helped Heal a Family,"Brown, Helen",null
1614669986-1097,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=6&per_page=20&shelf=read&utf8=%E2%9C%93,"Harry Potter and the Deathly Hallows
        (Harry Potter, #7)","Rowling, J.K.",null
1614669970-1035,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=3&per_page=20&shelf=read&utf8=%E2%9C%93,A Brief History of Time,"Hawking, Stephen","Sep 06, 2019"
1614669963-1023,https://www.goodreads.com/review/list/75557397-holly?utf8=%E2%9C%93&shelf=read&title=holly&per_page=20,next »,https://www.goodreads.com/review/list/75557397-holly?page=2&per_page=20&shelf=read&utf8=%E2%9C%93,Educated,"Westover, Tara","Nov 24, 2019"
